                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.64338,                0.47508,                0.94548,                0.79682,                 0.7737,                0.81452,                0.53728,                 1.1842,                0.82583,                 1.2342,              0.0001982,              0.0001982,              0.0001982
                     89,                0.58598,                0.43564,                0.92403,                0.81348,                0.76269,                0.80544,                0.53199,                 1.1905,                0.82844,                 1.2367,             0.00018406,             0.00018406,             0.00018406
                     90,                0.62036,                0.46883,                0.93516,                0.78679,                0.79188,                0.80371,                  0.528,                 1.2053,                0.79722,                 1.2658,             0.00016991,             0.00016991,             0.00016991
                     91,                0.53659,                0.39088,                0.87517,                0.79903,                0.79363,                 0.7935,                0.51569,                 1.2156,                  0.794,                 1.2578,             0.00015576,             0.00015576,             0.00015576
                     92,                0.54383,                0.38934,                0.88447,                0.77531,                0.76212,                0.78273,                0.51752,                  1.206,                0.80758,                   1.26,             0.00014161,             0.00014161,             0.00014161
                     93,                0.51628,                 0.3741,                  0.874,                0.79163,                0.78437,                0.80043,                0.52773,                 1.2173,                 0.8187,                 1.2736,             0.00012747,             0.00012747,             0.00012747
                     94,                0.51696,                0.36948,                0.87349,                 0.8177,                0.78988,                0.81278,                0.53734,                 1.2202,                0.79052,                  1.291,             0.00011332,             0.00011332,             0.00011332
                     95,                0.52963,                0.36804,                0.87036,                0.82907,                0.78348,                0.80951,                0.53822,                 1.2099,                0.77188,                 1.2952,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.5041,                 0.3634,                0.86275,                0.83768,                0.76739,                0.80149,                 0.5331,                 1.2092,                 0.7901,                 1.2784,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.50187,                0.36644,                0.85996,                0.80916,                0.78726,                0.80409,                0.53545,                  1.203,                0.79886,                 1.2703,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.49431,                0.36063,                 0.8605,                0.81121,                0.79224,                0.79719,                0.52783,                 1.2197,                 0.7964,                  1.283,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.5084,                0.36262,                0.86341,                0.80673,                0.78166,                0.79447,                0.52813,                 1.2099,                0.79122,                   1.28,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49761,                0.35689,                0.86591,                0.80469,                0.79673,                 0.7972,                0.52991,                 1.2112,                0.79759,                 1.2758,             2.8437e-05,             2.8437e-05,             2.8437e-05
